IG006-4	-40.0107  -23.205 -73.2258  35.2124  132.788  5.71705  5.59093 -9.10151  10.9936  73.3237  2.00641  7.11634  3.78197  8.70488 -1.51439  8.82078  8.37611    0.043 -3.99196 -1.52744
IG008-P1	 -48.2648  -26.8044  -70.5811   29.4257   136.871   -4.9822   4.84738  -11.8242   12.3422   70.5581  -1.20569   5.67285   3.28181  -3.77518  -2.88581 -0.232066  -1.38296   2.83167  -1.95329   -4.5172
IG009-P1	-57.8593 -24.9069 -91.9035  46.2837  149.578 -14.0665  3.32116 -17.2603   7.0256  87.9154 -2.32302  8.03857 0.952011  5.06056  2.12235  3.16676 -5.23197  8.30312  3.14402  2.19997
IG010-P1	-57.0009 -29.4682 -83.4208  33.7989  145.319 -4.50821  7.82729 -9.99543  6.83313  63.6691  5.26253 0.377854  8.38266  7.89531  -2.1708   3.1326  2.97761  3.92437  -1.3407 -8.25782
IG011-P1	 -45.7084  -21.9916  -69.3553     34.88     133.1   5.54405   2.51643  -8.39812   11.7486   62.7037   4.90528 -0.468844   -5.3454   7.43588  -1.49813   8.09931   6.68826  -1.56277  0.697537   1.49987
IG012-P1	 -45.1362  -28.8078  -58.6318   27.1609   126.323   6.61884   2.61229  -10.1831   11.0356   52.6686 0.0325519   5.52505  -9.72504   11.1919  -4.04968   2.14279   8.73818  -8.64035   5.44674   1.54617
IG013-P1	 -50.1566  -21.0201  -73.2977   40.9846   148.495   3.19706   4.17992  -11.5173   10.0482   82.9481   1.47406  -3.58975  -4.95605  -1.84755 -0.364328   1.28026   -0.5552   7.04971  -2.68709  -2.96112
IG014-P1	 -52.9605  -11.6782  -95.1511   57.7505   144.573  -10.4055    1.9666  -12.5052    12.367   79.3594 -0.377605   5.23202   5.73572   3.62095  -3.28812   4.74883   12.7221  -3.92005  -1.68036  -5.51147
IG015-P1	 -29.4656  -38.6496  -51.6431   21.3282   123.725  -7.99487    7.4098  -6.82761  -1.45095   47.1007 -0.149517  -9.19531   8.74272  -4.08526  -3.97899  -2.13694   3.19467  -7.51394 -0.290611  -5.50757
IG016-F2	 -10.5744  -36.5634  -44.7029   8.38319    137.89  -7.44192   6.26347  -8.35147   1.44321   64.3568  -0.85393   2.66226  -6.73994 -0.747147   2.41297  -14.4632  -5.81252   2.51705   1.53755   15.3715
IG016-M3	-38.5251 -59.8672 -45.2365  6.35222  146.453 -1.86579   2.2368 -6.95222   3.2528  62.3449 -1.49483  5.09833  3.79684 -5.22818 -2.47029 -5.72993 -5.38278 -6.19885  4.02711 -3.75513
